,avg_houshold_size,nonfamily_housholds%,lonely_housholder%,lonely_housholder_over65%,housholders_grandparents_responsible_for_grandchildren%,"not_us_citizen(abs, people)",geoid,unemployed%,median_houshold_income,mean_houshold_income,total_housing_units,avg_year_built,occupied_housing_units%,vacant_housing_units%,total_population,median_age,not_us_citizen%
0,2.67,24.53498671390611,15.32329495128432,4.517271922054915,0.0,105,36091061404,3.9,89261,122452,1156,1987.1820934256052,97.7,2.3,3024,40.7,3.4722222222222223
1,2.39,39.04569892473119,31.72043010752688,15.188172043010757,2.0161290322580645,44,36095740500,9.2,53438,64809,2220,1963.5792792792795,67.0,33.0,3562,42.6,1.235261089275688
2,2.63,36.835443037974684,26.83544303797468,9.873417721518988,3.037974683544304,13,36089492900,12.2,44483,54549,1978,1961.9436299292213,39.9,60.1,2076,39.2,0.6262042389210019
3,2.21,38.94952251023192,31.309686221009546,15.484311050477489,0.06821282401091405,126,36089492100,9.2,46111,59822,1578,1958.7065906210394,92.9,7.1,4410,37.6,2.857142857142857
4,2.1,43.98782343987824,36.86453576864536,9.071537290715373,1.1263318112633185,468,36091062405,4.4,59985,80467,3489,1986.7237030667814,94.2,5.8,6888,38.8,6.794425087108014
5,2.3,34.65160075329567,28.43691148775895,14.387947269303202,5.649717514124294,183,36089492700,8.0,35089,50766,2979,1951.6148036253776,89.1,10.9,7029,43.5,2.603499786598378
6,2.17,44.193548387096776,36.774193548387096,24.435483870967737,0.6451612903225806,16,36091060601,7.7,69054,91436,1452,1980.793732782369,85.4,14.6,2705,53.7,0.5914972273567467
7,2.56,19.12512716174975,10.22380467955239,3.560528992878942,0.0,23,36091060602,6.4,90290,94846,2210,1976.183936651584,89.0,11.0,5060,45.2,0.45454545454545453
8,3.02,37.68472906403941,32.101806239737265,12.31527093596059,1.3957307060755335,47,36093033200,7.5,52929,64677,1744,1935.3256880733945,69.8,30.2,3684,45.1,1.2757871878393052
9,2.2,65.29160739687056,52.48933143669986,9.103840682788052,0.0,185,36093033400,4.6,63781,70777,998,1933.9188376753507,70.4,29.6,3016,21.4,6.13395225464191
10,2.62,31.43365983971505,21.638468388245773,8.81567230632235,3.829029385574353,34,36089492400,7.0,46556,58123,1583,1961.5656980416932,70.9,29.1,2941,39.5,1.1560693641618496
11,2.36,34.10507569011576,24.75512021371327,10.596616206589493,3.116651825467497,36,36089492800,7.8,50281,65586,2724,1961.0256975036712,41.2,58.8,2666,50.1,1.350337584396099
12,2.5,28.728323699421964,22.02312138728324,9.595375722543352,2.1965317919075145,59,36091062508,1.4,92368,109211,1878,1979.3652822151223,92.1,7.9,4474,44.5,1.318730442556996
13,1.64,82.66283524904216,66.76245210727969,15.229885057471266,0.0,22,36093033500,5.8,45208,61596,1588,1937.824937027708,65.7,34.3,1894,43.1,1.1615628299894403
14,2.19,44.71603163191949,38.46153846153847,20.848310567936736,1.2940330697340043,21,36091062509,1.4,80982,104978,1482,1981.9365721997303,93.9,6.1,3052,47.4,0.6880733944954129
15,2.52,34.629156010230176,25.93350383631713,11.202046035805626,0.7672634271099744,43,36095740100,2.2,56563,68730,2336,1965.7724743150684,83.7,16.3,4987,44.1,0.8622418287547624
16,2.45,31.458842705786477,27.383863080684595,12.224938875305623,0.9779951100244498,30,36095740600,9.6,50972,67215,2207,1965.6730856366107,55.6,44.4,3001,47.4,0.9996667777407532
17,2.27,36.33491311216429,31.437598736176934,15.639810426540285,0.4739336492890995,34,36095740800,7.6,53958,69710,2719,1972.0750275836704,46.6,53.4,2875,52.4,1.182608695652174
18,2.23,43.001808318264004,34.53887884267631,10.705244122965642,0.0,75,36091061403,3.0,77884,104916,2815,1982.153108348135,98.2,1.8,6372,44.5,1.177024482109228
19,2.72,26.04166666666667,19.930555555555557,12.083333333333336,1.0416666666666663,111,36091062406,7.0,76638,116841,1609,1987.9546302050962,89.5,10.5,3920,42.4,2.8316326530612246
20,2.68,36.541143654114364,34.86750348675035,10.0418410041841,0.0,14,36093033300,8.1,49188,60921,955,1949.928272251309,75.1,24.9,1939,44.4,0.7220216606498195
