,geoid,gas_leaks_per_person,avg_assigned_fdny_engines#,avg_incident_duration,median_age,avg_houshold_size,avg_year_built,nonfamily_housholds%,lonely_housholder%,lonely_housholder_over65%,housholders_grandparents_responsible_for_grandchildren%,unemployed%,mean_houshold_income,total_housing_units,occupied_housing_units%,vacant_housing_units%,not_us_citizen%
0,36005000200,0.00125798655940676,2.0526315789473686,1580.0263157894738,38.300000000000004,3.729999999999999,1958.5898270645175,20.571020608494752,17.46421459287651,8.179414200983176,5.533191815838887,9.816666666666668,75457.16666666667,1480.0,91.06666666666668,8.933333333333334,13.38502102450739
1,36005000400,0.0014248742330396347,2.0816326530612246,1487.0408163265306,38.016666666666666,3.0316666666666667,1977.5644082977487,21.446329641484912,16.245349484007374,5.888501491024747,2.0002036957079152,7.616666666666667,85459.33333333333,2066.5,91.28333333333332,8.716666666666667,7.429445384666451
2,36005001600,0.002861767936636411,2.1414141414141414,1741.3737373737374,37.46666666666666,2.815,1971.8000577780513,27.974461328850598,27.192733725852666,13.57381664832141,0.8363542349667132,8.1,47136.666666666664,2048.3333333333335,95.46666666666665,4.533333333333333,16.45027752211782
3,36005001900,0.0023770799449518328,2.1578947368421053,1590.7631578947369,31.333333333333332,2.425,1965.9092533139583,47.65448339640299,37.56345454416218,1.7941630159631716,2.4102771204285918,16.683333333333334,47365.333333333336,960.5,94.13333333333334,5.866666666666666,16.052497290427073
4,36005002000,0.00580632038314318,2.1656050955414012,1285.1496815286623,33.416666666666664,2.981666666666667,1949.7784820190982,30.339702594050507,29.486664353782263,13.113575767266495,5.018771484649261,16.25,34932.0,3184.3333333333335,94.96666666666665,5.033333333333333,9.389476330997327
5,36005002400,0.10434782608695652,2.0,1356.2666666666667,27.9,4.5925,1993.046511627907,0.0,0.0,0.0,0.0,0.0,,31.75,100.0,0.0,51.608967086987505
6,36005002500,0.005227327984439581,2.058139534883721,1155.2674418604652,29.833333333333332,2.963333333333333,1946.1448309155478,31.85294520130364,28.30738988966751,11.588957726373053,4.793787998358758,9.266666666666666,32017.0,2065.5,89.56666666666666,10.433333333333332,25.13434730497643
7,36005002701,0.004774972557628979,2.057471264367816,1082.1149425287356,28.0,2.828333333333333,1947.3398652102462,29.078510854721674,27.80431665079898,9.077676743966718,4.2144803399009065,13.950000000000001,27529.333333333332,1104.3333333333333,97.23333333333333,2.766666666666667,18.003370275579034
8,36005002702,0.0020634694748825956,2.0517241379310347,1168.396551724138,27.316666666666666,3.078333333333333,1952.6928178619548,26.019461812626844,21.830714065575098,8.06152359776925,3.3841524346383696,10.666666666666666,27735.166666666668,1472.3333333333333,96.11666666666667,3.883333333333333,18.324300357585106
9,36005002800,0.0021890486759295856,2.263888888888889,1433.3472222222222,42.31666666666667,2.333333333333333,1961.4230277466384,39.166678639569255,35.15442648163478,18.154103626723657,0.8996587397787147,9.35,58575.666666666664,2430.5,96.58333333333333,3.4166666666666665,6.539700130062754
10,36005003100,0.004469035965098957,2.0714285714285716,1138.857142857143,33.2,2.9183333333333334,1945.252356949384,28.748679414225524,27.43428529447034,7.6521583925780545,0.3415422264989249,8.15,47519.166666666664,559.8333333333334,95.56666666666666,4.433333333333334,26.535844121871264
11,36005003300,0.0014016030835267838,2.21875,1114.0625,27.583333333333332,3.2366666666666664,1954.1204879358775,26.122545824184968,23.165384998739906,9.773277820214025,5.706858299461598,19.033333333333335,29450.166666666668,1248.3333333333333,94.31666666666666,5.683333333333334,14.854856548293823
12,36005003500,0.0030692084900358794,2.112676056338028,1318.5211267605634,29.816666666666666,2.9150000000000005,1945.7886064824045,31.377815382671727,28.49000360777987,11.364674312041265,2.3255210744945862,11.766666666666666,35071.166666666664,1386.5,94.75,5.25,14.166726854343459
13,36005003700,0.03994760969220694,2.0655737704918034,1240.8524590163934,47.78333333333334,2.0583333333333336,1954.2692035018435,58.777388185044536,53.065822448639516,0.0,0.0,11.899999999999999,27759.166666666668,125.0,100.0,0.0,6.650969563849695
14,36005003800,0.00430161943319838,2.2058823529411766,1389.235294117647,32.28333333333333,3.378333333333334,1959.9593761826789,22.003507934745215,21.210223712389293,5.725650129499026,7.615106440379684,14.299999999999999,63189.666666666664,436.5,89.19999999999999,10.799999999999999,8.078877447639277
15,36005003900,0.0012581846193349595,2.061224489795918,1034.8979591836735,29.816666666666666,3.3100000000000005,1948.871938059021,36.328993362515064,30.56065757347181,13.579818862228601,2.476804629445226,9.966666666666667,44952.333333333336,2249.6666666666665,86.56666666666666,13.433333333333332,28.981077946362817
16,36005004001,0.0020359687818120122,1.9444444444444444,1494.111111111111,39.78333333333334,2.98,1952.3677486883728,30.010881298732514,27.827636289468785,11.734355792963521,1.589485526357622,9.183333333333334,65147.0,556.0,88.96666666666668,11.033333333333333,13.146625915221968
17,36005004100,0.0033923143725575334,2.208,1241.528,25.516666666666666,2.975,1953.7441700131355,30.20617841191569,27.86405775568306,12.43772859304085,3.6836726472860346,16.150000000000002,30425.666666666668,2189.5,93.61666666666667,6.383333333333333,9.870985267466066
18,36005004200,0.00604216184996779,2.150735294117647,1340.5220588235295,35.13333333333333,2.7583333333333333,1960.5349302960976,33.691315194207114,31.53230531438192,9.946811083828331,4.084579776274265,20.416666666666668,36047.666666666664,2796.5,97.28333333333335,2.7166666666666663,5.7063895288939745
19,36005004300,0.005347443077875658,2.094736842105263,1289.3736842105263,30.166666666666668,2.9466666666666668,1958.5326699955328,35.910607100075474,33.71420470633998,9.218763783173287,3.358128395607405,15.199999999999998,34933.333333333336,2118.6666666666665,94.3,5.7,16.424533677868236
